Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
DA PR,2.45,1.39,3.9,2.58,1.260039682,-0.103171354,-0.944414701,1.047586055,0.841243348,1.992000757
VM PR,2.15,2.14,1.78,2.023333333,0.210792157,0.600907874,0.553467778,-1.154375652,0.047440095,1.70784343
CS RN,1.95,2.29,1.95,2.063333333,0.196299092,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
CS DP,1.86,2.44,1.25,1.85,0.595063022,0.016804943,0.991491621,-1.008296563,0.974686678,1.999788184
PR RG,2.37,1.69,1.25,1.77,0.564269439,1.063321808,-0.141776241,-0.921545567,1.205098049,0.779769326
VM P0,2.19,1.81,1.6,1.866666667,0.299054064,1.081186889,-0.189486362,-0.891700527,1.270673251,0.702214165
DI AQ,1.97,2.02,1.95,1.98,0.036055513,-0.277350098,1.109400392,-0.832050294,1.386750491,1.941450687
VS SP,1.75,2.05,2.66,2.153333333,0.463716868,-0.869783615,-0.222837124,1.092620739,0.64694649,1.315457864
AQ PR,2.19,1.54,1.78,1.836666667,0.328684246,1.074993213,-0.902588641,-0.172404572,1.977581854,0.730184069
DD AQ,1.75,2.26,0.54,1.516666667,0.883421379,0.264124617,0.841425565,-1.105550182,0.577300948,1.946975747
AQ RG,1.64,2.23,1.42,1.763333333,0.418847625,-0.294458714,1.114168109,-0.819709394,1.408626823,1.933877503
RG CS,1.86,1.75,1.95,1.853333333,0.100166528,0.066555833,-1.031615405,0.965059572,1.098171237,1.996674977
CC RN,1.68,1.96,1.25,1.63,0.357631095,0.139808872,0.922738556,-1.062547428,0.782929684,1.985285984
RN PP,2.04,1.42,1.42,1.626666667,0.357957167,1.154700538,-0.577350269,-0.577350269,1.732050808,0
DP NP,1.4,1.99,2.31,1.9,0.461627556,-1.08312425,0.194962365,0.888161885,1.278086615,0.69319952
VM DD,1.66,1.9,0.71,1.423333333,0.629311793,0.376072194,0.757441179,-1.133513373,0.381368985,1.890954551
RG PP,2.1,1.18,1.25,1.51,0.512152321,1.152001027,-0.644339558,-0.50766147,1.796340585,0.136678088
PT VM,1.77,1.57,1.25,1.53,0.262297541,0.914991422,0.15249857,-1.067489992,0.762492852,1.219988563
VS NC,1.62,1.45,2.31,1.793333333,0.455448497,-0.380577243,-0.753835693,1.134412936,0.37325845,1.888248629
VM VS,1.75,1.33,1.6,1.56,0.212837967,0.892697873,-1.080634267,0.187936394,1.97333214,1.268570661
VM RN,1.75,1.51,0.54,1.266666667,0.640650711,0.754441266,0.379822155,-1.134263421,0.374619111,1.514085575
PP NC,1.86,1.12,0.89,1.29,0.506853036,1.124586339,-0.335402943,-0.789183396,1.459989282,0.453780453
VS VM,1.81,0.85,2.31,1.656666667,0.741979335,0.206654453,-1.087182121,0.880527668,1.293836573,1.967709788
RN VS,1.31,1.33,1.95,1.53,0.363868108,-0.604614681,-0.54964971,1.154264391,0.054964971,1.703914101
PR DA,1.51,1.12,1.6,1.41,0.255147016,0.391930901,-1.136599612,0.744668712,1.528530513,1.881268324
AQ PP,1.04,1.66,1.25,1.316666667,0.315330514,-0.877386279,1.088804659,-0.21141838,1.966190938,1.30022304
NP PR,1.15,1.57,0.89,1.203333333,0.343122913,-0.155435068,1.068616093,-0.913181025,1.224051161,1.981797118
VS DA,1.31,1.33,0.54,1.06,0.450444225,0.55500767,0.599408284,-1.154415954,0.044400614,1.753824238
VS RG,1.28,1.09,1.78,1.383333333,0.356417358,-0.28992228,-0.823005183,1.112927464,0.533082903,1.935932647
NP NC,1,1.51,1.42,1.31,0.272213152,-1.138813455,0.734718358,0.404095097,1.873531814,0.330623261
CC NP,1.2,1.18,1.6,1.326666667,0.236924742,-0.534628277,-0.619043269,1.153671546,0.084414991,1.772714815
PP AQ,1.28,1.15,0.89,1.106666667,0.19857828,0.872871561,0.21821789,-1.091089451,0.654653671,1.309307341
RG DP,1.42,0.94,0.89,1.083333333,0.292631737,1.150478996,-0.489807889,-0.660671107,1.640286885,0.170863217
PR RN,1.51,0.82,0.71,1.013333333,0.433628105,1.145374714,-0.44585056,-0.699524154,1.591225274,0.253673594
CS CS,1.31,1.06,0.89,1.086666667,0.211266025,1.05711902,-0.126223167,-0.930895853,1.183342187,0.804672687
PR NC,1.09,1.09,1.42,1.2,0.190525589,-0.577350269,-0.577350269,1.154700538,0,1.732050808
CS VS,1.22,0.91,1.07,1.066666667,0.155026879,0.989075791,-1.010577438,0.021501648,1.999653229,1.032079086
RG CC,0.93,1.39,0.36,0.893333333,0.515978036,0.071062456,0.962573273,-1.033635729,0.891510817,1.996209003
PP DA,1.09,1.03,0.89,1.003333333,0.102632029,0.844440743,0.259827921,-1.104268664,0.584612822,1.364096585
CS NC,0.91,1.18,1.07,1.053333333,0.135769412,-1.055711525,0.932954371,0.122757154,1.988665895,0.810197217
DA RG,0.87,1.36,0.18,0.803333333,0.592818128,0.1124572,0.939017618,-1.051474817,0.826560418,1.990492435
VA VM,1.31,0.58,1.07,0.986666667,0.372066302,0.86902074,-1.092995157,0.223974417,1.962015897,1.316969575
AQ DP,0.84,1.03,2.13,1.333333333,0.696443345,-0.708361041,-0.435546316,1.143907357,0.272814725,1.579453673
PP RG,1.02,0.97,0.54,0.843333333,0.263881286,0.669492972,0.480013829,-1.149506801,0.189479143,1.62952063
